ARCHIVO | ZONA | ASSETS_IMPORTADOS
SM_TraySet_Soda_A.fbx | Generales | /Game/Modelos3D/Generales/SM_TraySet_Soda_A.SM_TraySet_Soda_A
SM_VestibuloBlockout_Generales_A.fbx | Generales | /Game/Modelos3D/Generales/SM_VestibuloBlockout_Generales_A.SM_VestibuloBlockout_Generales_A
SM_Bench_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_Bench_Gimnasio_A.SM_Bench_Gimnasio_A
SM_CanchaFloor_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_CanchaFloor_Gimnasio_A.SM_CanchaFloor_Gimnasio_A
SM_GimnasioBlockout_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_GimnasioBlockout_Gimnasio_A.SM_GimnasioBlockout_Gimnasio_A
SM_Graderias_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_Graderias_Gimnasio_A.SM_Graderias_Gimnasio_A
SM_LifeguardChair_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_LifeguardChair_Gimnasio_A.SM_LifeguardChair_Gimnasio_A
SM_LockerRow_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_LockerRow_Gimnasio_A.SM_LockerRow_Gimnasio_A
SM_PiscinaCubiertaBlockout_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_PiscinaCubiertaBlockout_Gimnasio_A.SM_PiscinaCubiertaBlockout_Gimnasio_A
SM_Piscina_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_Piscina_Gimnasio_A.SM_Piscina_Gimnasio_A
SM_PoolLadder_Gimnasio_A.fbx | Gimnasio | /Game/Modelos3D/Gimnasio/SM_PoolLadder_Gimnasio_A.SM_PoolLadder_Gimnasio_A
